,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
换热器,美国换热器协会,电厂换热器标准,POP换热器,预应力换热器,高压换热器,加氢高压换热器,螺纹锁紧环高压换热器,微型换热器,网丝多孔式微型换热器,深槽结构微型换热器,浮头换热器,立式夹套换热器,紧凑式换热器,紧凑型板壳式换热器,管壳式换热器,大型管壳式换热器,集成管箱型管壳式换热器,纵流管壳式换热器,浮头式换热器,发夹式换热器,固定式换热器,自支承式换热器,板式换热器,螺旋板式换热器,固定管板式换热器,印刷电路板式换热器,蓄热式换热器,列管式换热器,钛制列管式换热器,绕管式换热器,缠绕管式换热器,板翅式换热器,铝制板翅式换热器,脱丁烷塔进料换热器,折流杆换热器,三叶孔板换热器,螺旋板换热器,可拆式螺旋板换热器,弓形折流板换热器,连续螺旋折流板换热器,双管板换热器,开放式结构换热器,取样换热器,气气换热器,加氢换热器,新乏蒸汽换热器,蓄热换热器,鳍片换热器,非对称换热器,纵流壳程换热器,U型管换热器,套管换热器,多套管换热器,端焊式套管换热器,高温热管换热器,波纹管换热器,绕管换热器,苯乙烯装置换热器,微通道换热器,换热器封头,换热器管束,换热器圆筒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
压力容器,反应堆压力容器RPV,压力容器使用单位,压力容器标准,压力容器,制冷压力容器,塑料及其衬里制压力容器,钛制压力容器,简单压力容器,锅炉和压力容器,压力管道和压力容器,重型压力容器,反应堆压力容器,核反应堆压力容器,圆柱壳压力容器,气化关键设备压力容器,碟形封头压力容器,齿啮式快开压力容器,移动式压力容器,塔式压力容器,快开门式压力容器,球形压力容器,复合材料压力容器,厚壁复合板压力容器,核压力容器,低温压力容器,低温绝热压力容器,搪玻璃压力容器,核级压力容器,复合材料缠绕压力容器,长管无缝压力容器,铸铁压力容器,矩形截面压力容器,压力容器封头,压力容器用封头,反应堆压力容器支座,压力容器完整性,压力容器清洁厂房,压力容器用钢板,压力容器和封头加热,压力容器管理,压力容器用钢管,压力容器分析设计,压力容器制造,反应堆压力容器钢,压力容器用钢,压力容器检验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
容器,非标准容器法兰,容器类别,容器,绕丝容器,深冷容器,移动容器,外压容器,深海外压容器,矩形常压容器,大直径常压容器,承压容器,核反应承压容器,高压容器,整体多层夹紧式高压容器,超高压容器,绕丝式超高压容器,大型容器,厚壁容器,大型厚壁容器,薄壁容器,夹套容器,带夹套容器,管式夹套容器,多层容器,绕带容器,移动式容器,卧式容器,塔式容器,球形容器,薄壁内压球形容器,搅拌容器,FRP复合材料容器,储氢容器,高压储氢容器,液氢容器,高压立式液氢容器,立式圆筒型储液容器,低温容器,高真空多层绝热低温容器,复合型多层真空绝热低温容器,爆炸容器,低温绝热容器,抗爆容器,1类容器,2类容器,氢气无缝容器,矩形截面容器,非标准矩形截面容器,对称矩形截面容器,容器开孔补强结构,容器制造,高温高压容器用钢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反应器,反应器,CVD反应器,煤业化反应器,氧化反应器,PX氧化反应器,氯化反应器,氧氯化反应器,聚合反应器,大型反应器,超高压管式反应器,合成反应器,甲醇合成反应器,加氢反应器,热壁加氢反应器,在役加氢反应器,预加氢反应器,高温反应器,气相反应器,脱硫反应器,反应器管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸发器,蒸发器,乙二醇装置零效蒸发器,油浆蒸发器,薄膜蒸发器,氯化钡蒸发器,蒸发器传热管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发生器,蒸汽发生器管嘴,蒸汽发生器,AP1000蒸汽发生器,转化气蒸汽发生器,核电蒸汽发生器,热管蒸汽发生器,中压乙炔发生器,蒸汽发生器传热管,蒸汽发生器制造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搅拌器,搅拌器,转定子式搅拌器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
过滤器,蒸汽过滤器,高压飞灰过滤器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
过热器,过热器,后屏过热器,顶棚过热器,蒸汽过热器,余热锅炉过热器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
器,汽水分离再热器MSR,机器人,再热器引入,三通封堵器开槽法兰,仪器化夏比冲击,100t变位器,补偿器,一次性补偿器,平行流气冷器,油冷器,空冷器,高压空冷器,表面蒸发空冷器,反应流出物空冷器,预冷器,高压预冷器,冷凝器,管壳式冷凝器,池式冷凝器,浮头式折流杆冷凝器,脱气冷凝器,氨冷凝器,稀醋酸酐冷凝器,LNG气化器,汽化器,LNG汽化器,丁醛转化器,冷却器,丙烯腈装置反应气体冷却器,循环气冷却器,油冷却器,翅片油冷却器,铝质冷却器,稳压器,塔器,大型塔器,夹套式塔器,并排塔器,高耸塔器,摩擦阻尼器,粘滞阻尼器,橡胶阻尼器,槽式液体分布器,传感器,SOFO传感器,光纤光栅传感器,阀芯传感器,三通保护器,爆破片夹持器,钢丝绳隔振器,热交换器,余热排出热交换器,板式热交换器,C型管束热交换器,黄铜热交换器,球形进卸料器,结晶器,PTA结晶器,凝汽器,低变再沸器,重沸器,引流器,洗涤器,高压洗涤器,面式减温器,ATD再热器,锅炉再热器,汽水分离再热器,高压加热器,倒置立式高压加热器,汽水混合加热器,合成气废热回收加热器,高压给水加热器,蒸汽加热器,C22哈氏合金盘管式酰胺加热器,乙酸加热器,钽加热器,硫铵加热器,内取热器,氢气预热器,空气预热器,板式空气预热器,锅炉给水预热器,再生器,催化再生器,低压组合床重整再生器,冷高压分离器,低温分离器,旋风分离器,灭菌器,蒸汽灭菌器,真空灭菌器,变压吸附器,卧式分子筛吸附器,沉降器,器壁,外取热器管束,传感器安装方法,稳压器波动管,稳压器排放管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
球罐,球罐整体热处理,球罐,10000m3球罐,15MnVNR钢制球罐,高压球罐,大型球罐,混合式球罐,大型液化气球罐,氧气球罐,天然气球罐,10000m3天然气球罐,乙烯低温球罐,丙烯球罐,乙烯球罐,乙烷球罐,LNG双球球罐,真空球罐,不锈钢球罐,球罐检验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
储罐,储罐模型,低温储罐单层,储罐底板,石油储罐底板,储罐,105m3储罐,LNG储罐,双层C型LNG储罐,常压储罐,危险化学品储罐,大型储罐,立式圆筒型储罐,大型拱顶网壳储罐,立式储罐,大型立式储罐,球形储罐,支架式球形储罐,油气储罐,液化天然气储罐,液氨储罐,原油储罐,石油储罐,低温储罐,储罐底板腐蚀,球形储罐制造安装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罐,罐体,油气罐区,石油罐区,罐口,低温液体罐车外壳,罐底,罐盖,硫化罐卡箍,罐箱,LNG罐箱,液化天然气LNG罐箱,水泥罐箱,罐式集装箱,内罐,蜡油加氢热高分罐,硫化罐,平推式门盖硫化罐,丙烷卧罐,LPG覆土罐,外罐,LNG全容罐,单容罐,树脂反应罐,不开罐,卧式搅拌罐,LNG燃料罐,子母罐,油罐,储油罐,超大型储油罐,大型油罐,浮顶油罐,储液罐,大型储液罐,分离罐,沥青贮罐,深海高压试验罐,罐壁设计,罐式汽车,充液罐车,LPG铁路罐车,汽车罐车,LNG低温液体运输罐车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塔,氨合成塔内件,急冷塔,冷却塔,减压塔,常压塔,氨中和塔,反应塔,氨合成塔,尿素合成塔,甲醇合成塔,汽提塔,二氧化碳汽提塔,吸收塔,CO2吸收塔,硝酸吸收塔,甲醇吸收塔,复合钢板塔,底部框架塔,碱洗塔,焦炭塔,再生塔,脱硫塔,异构化原料分离塔,放空塔,高耸空塔,高耸塔,三聚氰胺废水分解塔,吸附塔,精馏塔,高塔,塔设备,超重、超大直径薄壁塔设备,悬挂式塔设备,焦炭塔裙座,塔裙连接型式,塔板,一塔两用,塔盘,塔顶馏出线,焦炭塔的制造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓶,气瓶水压内测法,气瓶水压外测法,气瓶爆炸,气瓶,CNG气瓶,车载LNG气瓶,CNGⅡ气瓶,高纯气体气瓶,天然气储气瓶,高压气瓶,复合气瓶,CNG2复合气瓶,CNGⅡ复合气瓶,CNG2型气瓶,全复合材料气瓶,车用高压燃料气瓶,压缩天然气车用燃料气瓶,氢气气瓶,车用高压天然气气瓶,车用高压氢气瓶,纤维缠绕高压氢气瓶,车用铝内胆碳纤维全缠绕氢气瓶,氧气瓶,低温气瓶,焊接绝热气瓶,低温绝热气瓶,无隔热气瓶,高压空气瓶,缠绕气瓶,大容积钢质内胆环向缠绕气瓶,环缠绕气瓶,无缝气瓶,长管拖车气瓶,储氢瓶,钢瓶,CNG钢瓶,人工缺口钢瓶,非重复充装焊接钢瓶,液化石油气钢瓶,非重复充装钢瓶,长管拖车钢瓶,LNG车用气瓶颈管,储气瓶组,高压气瓶钢,气瓶阀,车用瓶阀,气瓶泄露,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
釜,加压釜,蒸压釜,高压釜,萃取釜,聚合釜,反应釜,搅拌反应釜,搪瓷反应釜,卡箍式快开釜,超高压水晶釜,超高压人造水晶釜,脱蜡釜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
床,吸收床,焦床,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筒,筒形件,筒体锻件,筒体,汽包筒体,吊篮筒体,筒体鼓凸,单节筒体一次成型,圆筒模型,筒体开孔补强,井筒内低品位余热,压力筒,圆筒,内压圆筒,外压圆筒,厚壁圆筒,薄壁圆筒,短圆筒,薄壁内压短圆筒,厚壁筒,薄壁筒,套筒,三旋中心筒,导流筒,烘筒,发球筒,内衬筒,锅筒,压制锅筒,锅筒纵缝,筒节,厚壁大直径筒节,筒体端部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
